Date,Open*,High,Low,Close**
2021-11-21,4412.20,4422.49,4255.46,4269.73
2021-11-20,4298.35,4434.39,4209.24,4409.93
2021-11-19,3995.73,4311.71,3982.92,4298.31
2021-11-18,4287.80,4343.56,3959.23,4000.65
2021-11-17,4213.91,4300.31,4107.13,4287.59
2021-11-16,4570.48,4891.70,4144.33,4216.37
2021-11-15,4627.09,4764.64,4546.60,4557.50
2021-11-14,4648.63,4689.84,4516.94,4626.36
2021-11-13,4666.72,4702.12,4582.18,4651.46
2021-11-12,4724.31,4808.74,4510.92,4667.12
2021-11-11,4635.45,4778.06,4580.99,4730.38
2021-11-10,4733.36,4859.50,4485.09,4636.17
2021-11-09,4810.07,4837.59,4718.04,4735.07
2021-11-08,4619.65,4822.36,4619.65,4812.09
2021-11-07,4523.98,4640.92,4510.98,4620.55
2021-11-06,4482.65,4531.00,4334.97,4521.58
2021-11-05,4537.42,4570.90,4447.49,4486.24
2021-11-04,4604.68,4606.52,4426.62,4537.32
2021-11-03,4589.68,4664.91,4462.98,4607.19
2021-11-02,4322.50,4599.95,4288.69,4584.80
2021-11-01,4288.22,4377.32,4160.97,4324.63
2021-10-31,4322.74,4394.45,4179.02,4288.07
2021-10-30,4414.24,4426.85,4252.49,4325.65
2021-10-29,4288.69,4455.74,4271.71,4414.75
2021-10-28,3924.82,4293.15,3905.71,4287.32
2021-10-27,4132.17,4299.15,3930.26,3930.26
2021-10-26,4217.34,4289.13,4106.82,4131.10
2021-10-25,4084.43,4236.67,4072.03,4217.88
2021-10-24,4171.86,4185.73,3967.12,4087.90
2021-10-23,3971.36,4171.66,3944.63,4171.66
2021-10-22,4055.69,4162.98,3908.34,3970.18
2021-10-21,4161.71,4366.09,4032.48,4054.32
2021-10-20,3877.73,4167.47,3833.29,4155.99
2021-10-19,3747.16,3883.93,3736.78,3877.65
2021-10-18,3847.73,3888.21,3686.75,3748.76
2021-10-17,3829.86,3914.90,3660.72,3847.10
2021-10-16,3865.67,3962.45,3805.89,3830.38
2021-10-15,3790.15,3895.47,3735.36,3862.63
2021-10-14,3604.96,3819.26,3590.28,3786.01
2021-10-13,3492.75,3607.74,3417.60,3606.20
2021-10-12,3546.48,3546.48,3407.34,3492.57
2021-10-11,3419.73,3622.29,3385.76,3545.35
2021-10-10,3575.02,3603.24,3414.97,3425.85
2021-10-09,3560.00,3628.24,3544.64,3575.72
2021-10-08,3587.83,3667.96,3547.83,3563.76
2021-10-07,3576.81,3650.01,3479.91,3587.97
2021-10-06,3516.57,3622.55,3354.47,3580.56
2021-10-05,3381.78,3541.45,3365.82,3518.52
2021-10-04,3418.78,3434.78,3283.45,3380.09
2021-10-03,3390.77,3484.61,3348.12,3418.36
2021-10-02,3308.87,3464.84,3260.03,3391.69
2021-10-01,3001.13,3329.85,2978.65,3307.52
2021-09-30,2852.56,3046.52,2840.29,3001.68
2021-09-29,2809.30,2946.88,2786.99,2853.14
2021-09-28,2928.96,2970.77,2793.36,2807.30
2021-09-27,3065.84,3163.67,2932.69,2934.14
2021-09-26,2926.34,3114.86,2744.58,3062.27
2021-09-25,2930.88,2968.99,2818.97,2925.57
2021-09-24,3154.56,3159.64,2747.34,2931.67
2021-09-23,3077.97,3173.54,3038.10,3155.52
2021-09-22,2763.21,3089.08,2741.44,3077.87
2021-09-21,2977.31,3101.70,2676.41,2764.43
2021-09-20,3329.67,3343.33,2940.84,2958.99
2021-09-19,3433.29,3448.32,3286.17,3329.45
2021-09-18,3397.42,3540.81,3371.89,3432.02
2021-09-17,3569.57,3589.31,3356.45,3398.54
2021-09-16,3613.07,3673.31,3489.81,3571.29
2021-09-15,3431.22,3615.28,3365.91,3615.28
2021-09-14,3286.32,3429.17,3273.63,3429.17
2021-09-13,3407.47,3426.50,3121.51,3285.51
2021-09-12,3270.29,3462.47,3235.11,3410.13
2021-09-11,3209.03,3346.53,3208.96,3270.28
2021-09-10,3425.56,3512.57,3157.06,3211.51
2021-09-09,3452.55,3562.99,3400.52,3427.34
2021-09-08,3428.38,3559.12,3224.76,3497.32
2021-09-07,3926.53,3945.31,3062.22,3426.39
2021-09-06,3951.52,3968.43,3868.99,3928.38
2021-09-05,3886.33,3979.19,3838.49,3952.13
2021-09-04,3937.91,3969.45,3837.93,3887.83
2021-09-03,3787.49,4022.47,3712.68,3940.61
2021-09-02,3825.03,3830.71,3726.75,3790.99
2021-09-01,3430.76,3836.87,3387.41,3834.83
2021-08-31,3227.76,3466.99,3195.22,3433.73
2021-08-30,3227.19,3346.58,3151.44,3224.37
2021-08-29,3246.77,3283.24,3158.84,3227.00
2021-08-28,3275.10,3284.85,3217.40,3244.40
2021-08-27,3096.41,3281.84,3064.49,3270.60
2021-08-26,3228.75,3249.66,3060.23,3100.33
2021-08-25,3174.27,3248.73,3086.11,3224.92
2021-08-24,3324.86,3358.69,3154.12,3172.46
