Date,Open*,High,Low,Close**
2021-11-21,0.90 ,0.95 ,0.89 ,0.89 
2021-11-20,0.85 ,0.96 ,0.84 ,0.90 
2021-11-19,0.81 ,0.87 ,0.79 ,0.85 
2021-11-18,0.90 ,0.92 ,0.79 ,0.81 
2021-11-17,0.89 ,0.93 ,0.85 ,0.90 
2021-11-16,0.96 ,0.97 ,0.83 ,0.88 
2021-11-15,1.04 ,1.06 ,0.95 ,0.96 
2021-11-14,1.12 ,1.26 ,1.01 ,1.04 
2021-11-13,0.86 ,1.34 ,0.85 ,1.11 
2021-11-12,0.87 ,0.88 ,0.84 ,0.86 
2021-11-11,0.86 ,0.88 ,0.84 ,0.87 
2021-11-10,0.90 ,0.92 ,0.81 ,0.86 
2021-11-09,0.92 ,0.92 ,0.90 ,0.90 
2021-11-08,0.92 ,0.92 ,0.90 ,0.92 
2021-11-07,0.93 ,0.94 ,0.91 ,0.92 
2021-11-06,0.92 ,0.95 ,0.90 ,0.93 
2021-11-05,0.95 ,0.95 ,0.91 ,0.92 
2021-11-04,0.91 ,0.97 ,0.90 ,0.95 
2021-11-03,0.93 ,0.94 ,0.88 ,0.91 
2021-11-02,0.91 ,0.95 ,0.89 ,0.93 
2021-11-01,0.94 ,0.94 ,0.86 ,0.91 
2021-10-31,0.99 ,1.03 ,0.89 ,0.94 
2021-10-30,0.94 ,1.16 ,0.94 ,0.98 
2021-10-29,0.96 ,0.97 ,0.93 ,0.94 
2021-10-28,0.94 ,0.96 ,0.89 ,0.96 
2021-10-27,1.11 ,1.15 ,0.90 ,0.94 
2021-10-26,1.12 ,1.15 ,1.10 ,1.11 
2021-10-25,1.10 ,1.13 ,1.09 ,1.12 
2021-10-24,1.16 ,1.16 ,1.08 ,1.10 
2021-10-23,1.15 ,1.18 ,1.12 ,1.16 
2021-10-22,1.18 ,1.21 ,1.13 ,1.16 
2021-10-21,1.21 ,1.26 ,1.16 ,1.18 
2021-10-20,1.26 ,1.28 ,1.12 ,1.20 
2021-10-19,1.31 ,1.39 ,1.24 ,1.25 
2021-10-18,1.48 ,1.49 ,1.25 ,1.31 
2021-10-17,1.56 ,1.80 ,1.38 ,1.48 
2021-10-16,1.43 ,2.18 ,1.35 ,1.57 
2021-10-15,0.29 ,3.58 ,0.29 ,1.43 
2021-10-14,0.29 ,0.30 ,0.29 ,0.29 
2021-10-13,0.29 ,0.31 ,0.28 ,0.29 
2021-10-12,0.30 ,0.31 ,0.28 ,0.29 
2021-10-11,0.29 ,0.30 ,0.28 ,0.30 
2021-10-10,0.32 ,0.32 ,0.29 ,0.29 
2021-10-09,0.31 ,0.33 ,0.31 ,0.32 
2021-10-08,0.31 ,0.32 ,0.30 ,0.31 
2021-10-07,0.31 ,0.33 ,0.31 ,0.31 
2021-10-06,0.32 ,0.33 ,0.31 ,0.31 
2021-10-05,0.31 ,0.32 ,0.30 ,0.32 
